Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-0.261273554926901	0.0748666224842274	1290	-3.48985363914267	0.000499574779431053
m.B	-0.224060904426898	0.074689593093686	1290	-2.99989456557689	0.00275253669075378
m.C	-0.869469433600823	0.0751276512723998	1290	-11.573227951028	1.53099495883513e-29
m.D	-0.464463933876297	0.075126500318255	1290	-6.18242473572854	8.45383802661426e-10
m.A:B	0.399556746007523	0.135890248784787	1290	2.94029004715646	0.00333748703523563
m.A:C	0.486863136142131	0.134783075672846	1290	3.61219784985377	0.000315273476509463
m.A:D	-0.422647154492566	0.131771290125597	1290	-3.20742973746194	0.00137216697358086
m.B:C	0.543077601799156	0.134453712759658	1290	4.03914172879651	5.68113224863324e-05
m.B:D	0.359862564574945	0.134527273860184	1290	2.67501566224375	0.00756707772846754
m.C:D	0.4223773560922	0.137197489245594	1290	3.07860849651639	0.00212358472065109
m.remainder	-0.550630638846317	0.0708624809925077	1290	-7.77041152291204	1.58792201303416e-14
genotypeabcd	7.01311939766661	0.0978669309999017	1290	71.6597457998725	0
genotypeabcD	6.78216993404003	0.106087412272358	1290	63.9300157178699	0
genotypeabCd	6.66208175435335	0.106041195947686	1290	62.8254113395704	0
genotypeabCD	6.1525352528262	0.107518862611313	1290	57.2228454003273	0
genotypeaBcd	6.65432938714908	0.1060177796365	1290	62.7661644109564	0
genotypeaBcD	6.62326000860698	0.107622055550342	1290	61.5418463691098	0
genotypeaBCd	6.46873844712206	0.10757515707637	1290	60.1322705253383	0
genotypeaBCD	6.25807516785771	0.102061611824072	1290	61.3166405665339	0
genotypeAbcd	6.63566578610007	0.105950755798845	1290	62.6297163816212	0
genotypeAbcD	6.63866683757199	0.107171895024648	1290	61.9441023791286	0
genotypeAbCd	6.49762179685537	0.107728415826646	1290	60.3148365915934	0
genotypeAbCD	6.25642006504093	0.102076495466126	1290	61.2914857281429	0
genotypeABcd	6.64164567175001	0.107360581075	1290	61.8629817876103	0
genotypeABcD	6.24528623884733	0.101817859826001	1290	61.3378266791315	0
genotypeABCd	6.43877237358942	0.101818492528851	1290	63.2377499771465	0
genotypeABCD	6.30180070798206	0.0979328568357347	1290	64.3481760013621	0
