Contribution	Value	Std.Error	DF	t.value	p.value
m.A	-0.649739987401543	0.110045039031344	1290	-5.9043096637594	4.52229509378723e-09
m.B	-0.599417794815747	0.109377500595453	1290	-5.48026597382923	5.10222272760965e-08
m.C	-1.36565892189134	0.111521121338471	1290	-12.2457423804636	1.07051227286587e-32
m.D	-0.916377914655477	0.110859945612224	1290	-8.26608663385842	3.40374196558072e-16
m.A:B	-0.0511302751089725	0.0984466185869075	1290	-0.519370556783881	0.603591455089401
m.A:C	-0.302150271653404	0.0997092173232189	1290	-3.03031434570335	0.00249162702877814
m.A:D	-0.960305172293909	0.0973338086471084	1290	-9.86610085068769	3.47983934261633e-22
m.B:C	-0.216392806435444	0.0996386778351514	1290	-2.1717751694122	0.0300543315762762
m.B:D	-0.199027485114476	0.0995924385603892	1290	-1.99841963899492	0.0458807591017917
m.C:D	-0.441121891984983	0.100500475961059	1290	-4.38925176987125	1.23029608258417e-05
m.remainder	-0.637400987863297	0.0743874435374607	1290	-8.56866370924964	2.94487675222569e-17
genotypeabcd	7.05945431391004	0.102121431182085	1290	69.1280393566247	0
genotypeabcD	7.0545169460387	0.113732275957566	1290	62.0273962394876	0
genotypeabCd	6.95656371532961	0.113802973166634	1290	61.128136829462	0
genotypeabCD	6.53420422954172	0.111569844445223	1290	58.5660423032122	0
genotypeaBcd	6.88839582166496	0.113481667624638	1290	60.7005163552023	0
genotypeaBcD	6.98377082633795	0.111584374941956	1290	62.5873544568472	0
genotypeaBCd	6.83935729345913	0.111460784588782	1290	61.3611084713955	0
genotypeaBCD	6.36934261436605	0.10665681824889	1290	59.7181007172255	0
genotypeAbcd	6.8762841868808	0.113533967668282	1290	60.5658758176374	0
genotypeAbcD	6.98254176212872	0.1113376921184	1290	62.7149856375977	0
genotypeAbCd	6.87698559337891	0.111837501634559	1290	61.4908728545295	0
genotypeAbCD	6.35885337967577	0.10666035865354	1290	59.6177760880303	0
genotypeABcd	6.9830014197948	0.111462172218573	1290	62.6490699113725	0
genotypeABcD	6.43556418487693	0.106418223443392	1290	60.4742681905443	0
genotypeABCd	6.57674798271153	0.106436237789545	1290	61.7904965385535	0
genotypeABCD	6.20983432600504	0.1016726618961	1290	61.0767359700972	0
