replicate	flat	pot	pipet	genotype	treatment	colony
Bac020	flat10	pot053	pipet123	_Col	flg22	2.150887834
Bac020	flat10	pot055	pipet124	_Col	flg22	1.849857838
Bac020	flat10	pot055	pipet124	_Col	flg22	2.752947825
Bac020	flat10	pot057	pipet124	_Col	flg22	2.326979093
Bac020	flat10	pot057	pipet124	_Col	flg22	1.849857838
Bac020	flat10	pot059	pipet124	_Col	flg22	1.849857838
Bac020	flat10	pot059	pipet124	_Col	flg22	2.150887834
Bac020	flat09	pot050	pipet125	dde2/ein2/pad4	_mock	6.849857838
Bac020	flat09	pot050	pipet125	dde2/ein2/pad4	_mock	6.804100348
Bac020	flat09	pot052	pipet125	dde2/ein2/pad4	_mock	7.393925883
Bac020	flat09	pot052	pipet125	dde2/ein2/pad4	_mock	7.483326294
Bac020	flat10	pot054	pipet125	dde2/ein2/pad4	_mock	7.172077133
Bac020	flat10	pot054	pipet125	dde2/ein2/pad4	_mock	7.025949097
Bac020	flat10	pot056	pipet126	dde2/ein2/pad4	_mock	7.429641435
Bac020	flat10	pot056	pipet126	dde2/ein2/pad4	_mock	6.752947825
Bac020	flat10	pot058	pipet126	dde2/ein2/pad4	_mock	6.891250523
Bac020	flat10	pot058	pipet126	dde2/ein2/pad4	_mock	6.929039084
Bac020	flat10	pot060	pipet126	dde2/ein2/pad4	_mock	7.053977821
Bac020	flat10	pot060	pipet126	dde2/ein2/pad4	_mock	6.264831186
Bac020	flat09	pot049	pipet127	dde2/ein2/pad4	flg22	6.297015869
Bac020	flat09	pot049	pipet127	dde2/ein2/pad4	flg22	5.995985874
Bac020	flat09	pot051	pipet127	dde2/ein2/pad4	flg22	6.025949097
Bac020	flat09	pot051	pipet127	dde2/ein2/pad4	flg22	5.281221602
Bac020	flat10	pot053	pipet127	dde2/ein2/pad4	flg22	5.582251598
Bac020	flat10	pot053	pipet127	dde2/ein2/pad4	flg22	6.08030676
Bac020	flat10	pot055	pipet128	dde2/ein2/pad4	flg22	6.297015869
Bac020	flat10	pot055	pipet128	dde2/ein2/pad4	flg22	5.548827842
Bac020	flat10	pot057	pipet128	dde2/ein2/pad4	flg22	6.025949097
Bac020	flat10	pot057	pipet128	dde2/ein2/pad4	flg22	6.211585674
Bac020	flat10	pot059	pipet128	dde2/ein2/pad4	flg22	5.752947825
Bac020	flat10	pot059	pipet128	dde2/ein2/pad4	flg22	5.694955878
Bac020	flat09	pot049	pipet129	dde2/ein2/pad4/sid2	_mock	7.23006908
Bac020	flat09	pot049	pipet129	dde2/ein2/pad4/sid2	_mock	7.540053918
Bac020	flat09	pot051	pipet129	dde2/ein2/pad4/sid2	_mock	7.418059562
Bac020	flat09	pot051	pipet129	dde2/ein2/pad4/sid2	_mock	7.540053918
Bac020	flat10	pot053	pipet129	dde2/ein2/pad4/sid2	_mock	6.628009089
Bac020	flat10	pot053	pipet129	dde2/ein2/pad4/sid2	_mock	7.418059562
Bac020	flat10	pot055	pipet130	dde2/ein2/pad4/sid2	_mock	7.105130343
Bac020	flat10	pot055	pipet130	dde2/ein2/pad4/sid2	_mock	7.368371778
Bac020	flat10	pot057	pipet130	dde2/ein2/pad4/sid2	_mock	7.741952441
Bac020	flat10	pot057	pipet130	dde2/ein2/pad4/sid2	_mock	7.105130343
Bac020	flat10	pot059	pipet130	dde2/ein2/pad4/sid2	_mock	7.192280519
Bac020	flat10	pot059	pipet130	dde2/ein2/pad4/sid2	_mock	7.368371778
Bac020	flat09	pot050	pipet131	dde2/ein2/pad4/sid2	flg22	7.289190532
Bac020	flat09	pot050	pipet131	dde2/ein2/pad4/sid2	flg22	6.341219532
Bac020	flat09	pot052	pipet131	dde2/ein2/pad4/sid2	flg22	6.841083914
Bac020	flat09	pot052	pipet131	dde2/ein2/pad4/sid2	flg22	6.150887834
Bac020	flat10	pot054	pipet131	dde2/ein2/pad4/sid2	flg22	6.297015869
Bac020	flat10	pot054	pipet131	dde2/ein2/pad4/sid2	flg22	6.247797847
Bac020	flat10	pot056	pipet132	dde2/ein2/pad4/sid2	flg22	7.069965926
Bac020	flat10	pot056	pipet132	dde2/ein2/pad4/sid2	flg22	6.211585674
Bac020	flat10	pot058	pipet132	dde2/ein2/pad4/sid2	flg22	5.804100348
Bac020	flat10	pot058	pipet132	dde2/ein2/pad4/sid2	flg22	6.150887834
Bac020	flat10	pot060	pipet132	dde2/ein2/pad4/sid2	flg22	5.752947825
Bac020	flat10	pot060	pipet132	dde2/ein2/pad4/sid2	flg22	6.605732694
Bac020	flat09	pot050	pipet133	dde2/ein2/sid2	_mock	6.804100348
Bac020	flat09	pot050	pipet133	dde2/ein2/sid2	_mock	6.281221602
Bac020	flat09	pot052	pipet133	dde2/ein2/sid2	_mock	6.804100348
Bac020	flat09	pot052	pipet133	dde2/ein2/sid2	_mock	7.150887834
Bac020	flat10	pot054	pipet133	dde2/ein2/sid2	_mock	7.025949097
Bac020	flat10	pot054	pipet133	dde2/ein2/sid2	_mock	7.264831186
Bac020	flat10	pot056	pipet134	dde2/ein2/sid2	_mock	6.440922445
Bac020	flat10	pot056	pipet134	dde2/ein2/sid2	_mock	6.995985874
Bac020	flat10	pot058	pipet134	dde2/ein2/sid2	_mock	6.849857838
Bac020	flat10	pot058	pipet134	dde2/ein2/sid2	_mock	6.804100348
Bac020	flat10	pot060	pipet134	dde2/ein2/sid2	_mock	6.462641695
Bac020	flat10	pot060	pipet134	dde2/ein2/sid2	_mock	6.682366751
Bac020	flat09	pot049	pipet135	dde2/ein2/sid2	flg22	6.741952441
Bac020	flat09	pot049	pipet135	dde2/ein2/sid2	flg22	6.473107129
Bac020	flat09	pot051	pipet135	dde2/ein2/sid2	flg22	6.053977821
Bac020	flat09	pot051	pipet135	dde2/ein2/sid2	flg22	5.849857838
Bac020	flat10	pot053	pipet135	dde2/ein2/sid2	flg22	5.849857838
Bac020	flat10	pot053	pipet135	dde2/ein2/sid2	flg22	6.053977821
Bac020	flat10	pot055	pipet136	dde2/ein2/sid2	flg22	6.128611439
Bac020	flat10	pot055	pipet136	dde2/ein2/sid2	flg22	5.150887834
Bac020	flat10	pot057	pipet136	dde2/ein2/sid2	flg22	5.628009089
Bac020	flat10	pot057	pipet136	dde2/ein2/sid2	flg22	5.192280519
Bac020	flat10	pot059	pipet136	dde2/ein2/sid2	flg22	5.247797847
Bac020	flat10	pot059	pipet136	dde2/ein2/sid2	flg22	5.025949097
Bac020	flat09	pot049	pipet137	dde2/pad4/sid2	_mock	7.418059562
Bac020	flat09	pot049	pipet137	dde2/pad4/sid2	_mock	7.381336755
Bac020	flat09	pot051	pipet137	dde2/pad4/sid2	_mock	7.025949097
Bac020	flat09	pot051	pipet137	dde2/pad4/sid2	_mock	6.849857838
Bac020	flat10	pot053	pipet137	dde2/pad4/sid2	_mock	6.694955878
Bac020	flat10	pot053	pipet137	dde2/pad4/sid2	_mock	6.694955878
Bac020	flat10	pot055	pipet138	dde2/pad4/sid2	_mock	6.929039084
Bac020	flat10	pot055	pipet138	dde2/pad4/sid2	_mock	6.493310515
Bac020	flat10	pot057	pipet138	dde2/pad4/sid2	_mock	7.025949097
Bac020	flat10	pot057	pipet138	dde2/pad4/sid2	_mock	6.891250523
Bac020	flat10	pot059	pipet138	dde2/pad4/sid2	_mock	7.128611439
Bac020	flat10	pot059	pipet138	dde2/pad4/sid2	_mock	6.613285832
Bac020	flat09	pot049	pipet139	dde2/pad4/sid2	flg22	4.752947825
Bac020	flat09	pot049	pipet139	dde2/pad4/sid2	flg22	4.628009089
Bac020	flat09	pot051	pipet139	dde2/pad4/sid2	flg22	3.995985874
Bac020	flat09	pot051	pipet139	dde2/pad4/sid2	flg22	4.297015869
Bac020	flat10	pot053	pipet139	dde2/pad4/sid2	flg22	4.96380119
Bac020	flat10	pot053	pipet139	dde2/pad4/sid2	flg22	4.628009089
Bac020	flat10	pot055	pipet140	dde2/pad4/sid2	flg22	4.418059562
Bac020	flat10	pot055	pipet140	dde2/pad4/sid2	flg22	3.548827842
Bac020	flat10	pot057	pipet140	dde2/pad4/sid2	flg22	5.025949097
Bac020	flat10	pot057	pipet140	dde2/pad4/sid2	flg22	4.548827842
Bac020	flat10	pot059	pipet140	dde2/pad4/sid2	flg22	4.548827842
Bac020	flat10	pot059	pipet140	dde2/pad4/sid2	flg22	4.355007816
Bac020	flat09	pot050	pipet141	ein2/pad4/sid2	_mock	7.172077133
Bac020	flat09	pot050	pipet141	ein2/pad4/sid2	_mock	7.297015869
Bac020	flat09	pot052	pipet141	ein2/pad4/sid2	_mock	7.150887834
Bac020	flat09	pot052	pipet141	ein2/pad4/sid2	_mock	7.247797847
Bac020	flat10	pot054	pipet141	ein2/pad4/sid2	_mock	6.694955878
Bac020	flat10	pot054	pipet141	ein2/pad4/sid2	_mock	7.025949097
Bac020	flat10	pot056	pipet142	ein2/pad4/sid2	_mock	6.849857838
Bac020	flat10	pot056	pipet142	ein2/pad4/sid2	_mock	7.025949097
Bac020	flat10	pot058	pipet142	ein2/pad4/sid2	_mock	6.694955878
Bac020	flat10	pot058	pipet142	ein2/pad4/sid2	_mock	6.752947825
Bac020	flat10	pot060	pipet142	ein2/pad4/sid2	_mock	6.929039084
Bac020	flat10	pot060	pipet142	ein2/pad4/sid2	_mock	6.96380119
Bac020	flat09	pot050	pipet143	ein2/pad4/sid2	flg22	6.08030676
Bac020	flat09	pot050	pipet143	ein2/pad4/sid2	flg22	6.23006908
Bac020	flat09	pot052	pipet143	ein2/pad4/sid2	flg22	5.752947825
Bac020	flat09	pot052	pipet143	ein2/pad4/sid2	flg22	5.264831186
Bac020	flat10	pot054	pipet143	ein2/pad4/sid2	flg22	5.451917829
Bac020	flat10	pot054	pipet143	ein2/pad4/sid2	flg22	5.406160339
Bac020	flat10	pot056	pipet144	ein2/pad4/sid2	flg22	6.105130343
Bac020	flat10	pot056	pipet144	ein2/pad4/sid2	flg22	5.752947825
Bac020	flat10	pot058	pipet144	ein2/pad4/sid2	flg22	5.628009089
Bac020	flat10	pot058	pipet144	ein2/pad4/sid2	flg22	5.694955878
Bac020	flat10	pot060	pipet144	ein2/pad4/sid2	flg22	5.694955878
Bac020	flat10	pot060	pipet144	ein2/pad4/sid2	flg22	5.429641435
Bac022	flat11	pot061	pipet145	_Col	_mock	6.891250523
Bac022	flat11	pot061	pipet145	_Col	_mock	6.429641435
Bac022	flat11	pot063	pipet145	_Col	_mock	6.264831186
Bac022	flat11	pot063	pipet145	_Col	_mock	5.929039084
Bac022	flat12	pot065	pipet145	_Col	_mock	6.694955878
Bac022	flat12	pot065	pipet145	_Col	_mock	6.694955878
Bac022	flat12	pot067	pipet146	_Col	_mock	6.628009089
Bac022	flat12	pot067	pipet146	_Col	_mock	6.531099076
Bac022	flat12	pot069	pipet146	_Col	_mock	7.211585674
Bac022	flat12	pot069	pipet146	_Col	_mock	5.995985874
Bac022	flat12	pot071	pipet146	_Col	_mock	6.694955878
Bac022	flat12	pot071	pipet146	_Col	_mock	6.150887834
Bac022	flat11	pot061	pipet147	_Col	flg22	2.150887834
Bac022	flat11	pot061	pipet147	_Col	flg22	2.150887834
Bac022	flat11	pot063	pipet147	_Col	flg22	1.849857838
Bac022	flat11	pot063	pipet147	_Col	flg22	2.150887834
Bac022	flat12	pot065	pipet147	_Col	flg22	1.849857838
Bac022	flat12	pot065	pipet147	_Col	flg22	2.150887834
Bac022	flat12	pot067	pipet148	_Col	flg22	1.849857838
Bac022	flat12	pot067	pipet148	_Col	flg22	1.849857838
Bac022	flat12	pot069	pipet148	_Col	flg22	1.849857838
Bac022	flat12	pot069	pipet148	_Col	flg22	1.849857838
Bac022	flat12	pot071	pipet148	_Col	flg22	2.326979093
Bac022	flat12	pot071	pipet148	_Col	flg22	2.150887834
Bac022	flat11	pot061	pipet149	dde2/ein2/pad4	_mock	7.211585674
Bac022	flat11	pot061	pipet149	dde2/ein2/pad4	_mock	7.247797847
Bac022	flat11	pot063	pipet149	dde2/ein2/pad4	_mock	7.150887834
Bac022	flat11	pot063	pipet149	dde2/ein2/pad4	_mock	6.862695063
Bac022	flat12	pot065	pipet149	dde2/ein2/pad4	_mock	7.105130343
Bac022	flat12	pot065	pipet149	dde2/ein2/pad4	_mock	7.025949097
Bac022	flat12	pot067	pipet150	dde2/ein2/pad4	_mock	7.264831186
Bac022	flat12	pot067	pipet150	dde2/ein2/pad4	_mock	6.694955878
Bac022	flat12	pot069	pipet150	dde2/ein2/pad4	_mock	7.211585674
Bac022	flat12	pot069	pipet150	dde2/ein2/pad4	_mock	7.341219532
Bac022	flat12	pot071	pipet150	dde2/ein2/pad4	_mock	6.995985874
Bac022	flat12	pot071	pipet150	dde2/ein2/pad4	_mock	6.521955696
Bac022	flat11	pot062	pipet151	dde2/ein2/pad4	flg22	5.548827842
Bac022	flat11	pot062	pipet151	dde2/ein2/pad4	flg22	5.688706929
Bac022	flat11	pot064	pipet151	dde2/ein2/pad4	flg22	6.025949097
Bac022	flat11	pot064	pipet151	dde2/ein2/pad4	flg22	6.150887834
Bac022	flat12	pot066	pipet151	dde2/ein2/pad4	flg22	5.548827842
Bac022	flat12	pot066	pipet151	dde2/ein2/pad4	flg22	5.995985874
Bac022	flat12	pot068	pipet152	dde2/ein2/pad4	flg22	5.995985874
Bac022	flat12	pot068	pipet152	dde2/ein2/pad4	flg22	5.995985874
Bac022	flat12	pot070	pipet152	dde2/ein2/pad4	flg22	5.891250523
Bac022	flat12	pot070	pipet152	dde2/ein2/pad4	flg22	5.849857838
Bac022	flat12	pot072	pipet152	dde2/ein2/pad4	flg22	6.08030676
Bac022	flat12	pot072	pipet152	dde2/ein2/pad4	flg22	5.548827842
Bac022	flat11	pot062	pipet153	dde2/ein2/pad4/sid2	_mock	7.128611439
Bac022	flat11	pot062	pipet153	dde2/ein2/pad4/sid2	_mock	6.804100348
Bac022	flat11	pot064	pipet153	dde2/ein2/pad4/sid2	_mock	6.891250523
Bac022	flat11	pot064	pipet153	dde2/ein2/pad4/sid2	_mock	6.929039084
Bac022	flat12	pot066	pipet153	dde2/ein2/pad4/sid2	_mock	6.891250523
Bac022	flat12	pot066	pipet153	dde2/ein2/pad4/sid2	_mock	7.312255836
Bac022	flat12	pot068	pipet154	dde2/ein2/pad4/sid2	_mock	7.150887834
Bac022	flat12	pot068	pipet154	dde2/ein2/pad4/sid2	_mock	6.929039084
Bac022	flat12	pot070	pipet154	dde2/ein2/pad4/sid2	_mock	6.752947825
Bac022	flat12	pot070	pipet154	dde2/ein2/pad4/sid2	_mock	7.281221602
Bac022	flat12	pot072	pipet154	dde2/ein2/pad4/sid2	_mock	7.128611439
Bac022	flat12	pot072	pipet154	dde2/ein2/pad4/sid2	_mock	6.995985874
Bac022	flat11	pot062	pipet155	dde2/ein2/pad4/sid2	flg22	6.418059562
Bac022	flat11	pot062	pipet155	dde2/ein2/pad4/sid2	flg22	6.23006908
Bac022	flat11	pot064	pipet155	dde2/ein2/pad4/sid2	flg22	6.297015869
Bac022	flat11	pot064	pipet155	dde2/ein2/pad4/sid2	flg22	6.247797847
Bac022	flat12	pot066	pipet155	dde2/ein2/pad4/sid2	flg22	5.548827842
Bac022	flat12	pot066	pipet155	dde2/ein2/pad4/sid2	flg22	5.953661559
Bac022	flat12	pot068	pipet156	dde2/ein2/pad4/sid2	flg22	6.211585674
Bac022	flat12	pot068	pipet156	dde2/ein2/pad4/sid2	flg22	6.053977821
Bac022	flat12	pot070	pipet156	dde2/ein2/pad4/sid2	flg22	6.150887834
Bac022	flat12	pot070	pipet156	dde2/ein2/pad4/sid2	flg22	6.053977821
Bac022	flat12	pot072	pipet156	dde2/ein2/pad4/sid2	flg22	6.473107129
Bac022	flat12	pot072	pipet156	dde2/ein2/pad4/sid2	flg22	6.08030676
Bac022	flat11	pot061	pipet157	dde2/ein2/sid2	_mock	7.211585674
Bac022	flat11	pot061	pipet157	dde2/ein2/sid2	_mock	6.694955878
Bac022	flat11	pot063	pipet157	dde2/ein2/sid2	_mock	7.025949097
Bac022	flat11	pot063	pipet157	dde2/ein2/sid2	_mock	6.694955878
Bac022	flat12	pot065	pipet157	dde2/ein2/sid2	_mock	5.995985874
Bac022	flat12	pot065	pipet157	dde2/ein2/sid2	_mock	6.891250523
Bac022	flat12	pot067	pipet158	dde2/ein2/sid2	_mock	6.995985874
Bac022	flat12	pot067	pipet158	dde2/ein2/sid2	_mock	6.995985874
Bac022	flat12	pot069	pipet158	dde2/ein2/sid2	_mock	7.172077133
Bac022	flat12	pot069	pipet158	dde2/ein2/sid2	_mock	6.752947825
Bac022	flat12	pot071	pipet158	dde2/ein2/sid2	_mock	6.752947825
Bac022	flat12	pot071	pipet158	dde2/ein2/sid2	_mock	6.548827842
Bac022	flat11	pot061	pipet159	dde2/ein2/sid2	flg22	4.929039084
Bac022	flat11	pot061	pipet159	dde2/ein2/sid2	flg22	5.23006908
Bac022	flat11	pot063	pipet159	dde2/ein2/sid2	flg22	6.08030676
Bac022	flat11	pot063	pipet159	dde2/ein2/sid2	flg22	5.694955878
Bac022	flat12	pot065	pipet159	dde2/ein2/sid2	flg22	5.694955878
Bac022	flat12	pot065	pipet159	dde2/ein2/sid2	flg22	5.628009089
Bac022	flat12	pot067	pipet160	dde2/ein2/sid2	flg22	5.688706929
Bac022	flat12	pot067	pipet160	dde2/ein2/sid2	flg22	5.355007816
Bac022	flat12	pot069	pipet160	dde2/ein2/sid2	flg22	5.891250523
Bac022	flat12	pot069	pipet160	dde2/ein2/sid2	flg22	5.628009089
Bac022	flat12	pot071	pipet160	dde2/ein2/sid2	flg22	5.590220528
Bac022	flat12	pot071	pipet160	dde2/ein2/sid2	flg22	3.96380119
Bac022	flat11	pot062	pipet161	dde2/pad4/sid2	_mock	6.96380119
Bac022	flat11	pot062	pipet161	dde2/pad4/sid2	_mock	6.891250523
Bac022	flat11	pot064	pipet161	dde2/pad4/sid2	_mock	6.752947825
Bac022	flat11	pot064	pipet161	dde2/pad4/sid2	_mock	6.995985874
Bac022	flat12	pot066	pipet161	dde2/pad4/sid2	_mock	7.025949097
Bac022	flat12	pot066	pipet161	dde2/pad4/sid2	_mock	6.628009089
Bac022	flat12	pot068	pipet162	dde2/pad4/sid2	_mock	6.995985874
Bac022	flat12	pot068	pipet162	dde2/pad4/sid2	_mock	6.752947825
Bac022	flat12	pot070	pipet162	dde2/pad4/sid2	_mock	6.995985874
Bac022	flat12	pot070	pipet162	dde2/pad4/sid2	_mock	6.605732694
Bac022	flat12	pot072	pipet162	dde2/pad4/sid2	_mock	6.694955878
Bac022	flat12	pot072	pipet162	dde2/pad4/sid2	_mock	6.96380119
Bac022	flat11	pot061	pipet163	dde2/pad4/sid2	flg22	5.393925883
Bac022	flat11	pot061	pipet163	dde2/pad4/sid2	flg22	5.724919102
Bac022	flat11	pot063	pipet163	dde2/pad4/sid2	flg22	5.192280519
Bac022	flat11	pot063	pipet163	dde2/pad4/sid2	flg22	5.105130343
Bac022	flat12	pot065	pipet163	dde2/pad4/sid2	flg22	5.150887834
Bac022	flat12	pot065	pipet163	dde2/pad4/sid2	flg22	5.368371778
Bac022	flat12	pot067	pipet164	dde2/pad4/sid2	flg22	5.172077133
Bac022	flat12	pot067	pipet164	dde2/pad4/sid2	flg22	4.451917829
Bac022	flat12	pot069	pipet164	dde2/pad4/sid2	flg22	5.368371778
Bac022	flat12	pot069	pipet164	dde2/pad4/sid2	flg22	5.503070352
Bac022	flat12	pot071	pipet164	dde2/pad4/sid2	flg22	4.849857838
Bac022	flat12	pot071	pipet164	dde2/pad4/sid2	flg22	5.483326294
Bac022	flat11	pot061	pipet165	ein2/pad4/sid2	_mock	6.891250523
Bac022	flat11	pot061	pipet165	ein2/pad4/sid2	_mock	7.211585674
Bac022	flat11	pot063	pipet165	ein2/pad4/sid2	_mock	7.172077133
Bac022	flat11	pot063	pipet165	ein2/pad4/sid2	_mock	6.713180698
Bac022	flat12	pot065	pipet165	ein2/pad4/sid2	_mock	7.247797847
Bac022	flat12	pot065	pipet165	ein2/pad4/sid2	_mock	7.08030676
Bac022	flat12	pot067	pipet166	ein2/pad4/sid2	_mock	6.849857838
Bac022	flat12	pot067	pipet166	ein2/pad4/sid2	_mock	6.694955878
Bac022	flat12	pot069	pipet166	ein2/pad4/sid2	_mock	6.849857838
Bac022	flat12	pot069	pipet166	ein2/pad4/sid2	_mock	7.105130343
Bac022	flat12	pot071	pipet166	ein2/pad4/sid2	_mock	6.995985874
Bac022	flat12	pot071	pipet166	ein2/pad4/sid2	_mock	6.96380119
Bac022	flat11	pot062	pipet167	ein2/pad4/sid2	flg22	5.649198388
Bac022	flat11	pot062	pipet167	ein2/pad4/sid2	flg22	5.297015869
Bac022	flat11	pot064	pipet167	ein2/pad4/sid2	flg22	5.418059562
Bac022	flat11	pot064	pipet167	ein2/pad4/sid2	flg22	5.891250523
Bac022	flat12	pot066	pipet167	ein2/pad4/sid2	flg22	5.393925883
Bac022	flat12	pot066	pipet167	ein2/pad4/sid2	flg22	5.150887834
Bac022	flat12	pot068	pipet168	ein2/pad4/sid2	flg22	5.429641435
Bac022	flat12	pot068	pipet168	ein2/pad4/sid2	flg22	5.473107129
Bac022	flat12	pot070	pipet168	ein2/pad4/sid2	flg22	5.628009089
Bac022	flat12	pot070	pipet168	ein2/pad4/sid2	flg22	5.724919102
Bac022	flat12	pot072	pipet168	ein2/pad4/sid2	flg22	6.105130343
Bac022	flat12	pot072	pipet168	ein2/pad4/sid2	flg22	5.381336755
Bac035	flat13	pot074	pipet169	_Col	_mock	6.613285832
Bac035	flat13	pot074	pipet169	_Col	_mock	6.891250523
Bac035	flat13	pot076	pipet169	_Col	_mock	6.694955878
Bac035	flat13	pot076	pipet169	_Col	_mock	6.929039084
Bac035	flat13	pot078	pipet169	_Col	_mock	6.752947825
Bac035	flat13	pot078	pipet169	_Col	_mock	7.297015869
Bac035	flat13	pot080	pipet170	_Col	_mock	6.849857838
Bac035	flat13	pot080	pipet170	_Col	_mock	7.211585674
Bac035	flat14	pot082	pipet170	_Col	_mock	6.540053918
Bac035	flat14	pot082	pipet170	_Col	_mock	6.521955696
Bac035	flat14	pot084	pipet170	_Col	_mock	6.418059562
Bac035	flat14	pot084	pipet170	_Col	_mock	6.493310515
Bac035	flat13	pot073	pipet171	_Col	flg22	3.326979093
Bac035	flat13	pot073	pipet171	_Col	flg22	3.355007816
Bac035	flat13	pot075	pipet171	_Col	flg22	3.312255836
Bac035	flat13	pot075	pipet171	_Col	flg22	2.96380119
Bac035	flat13	pot077	pipet171	_Col	flg22	2.326979093
Bac035	flat13	pot077	pipet171	_Col	flg22	3.891250523
Bac035	flat13	pot079	pipet172	_Col	flg22	2.694955878
Bac035	flat13	pot079	pipet172	_Col	flg22	4.96380119
Bac035	flat14	pot081	pipet172	_Col	flg22	2.326979093
Bac035	flat14	pot081	pipet172	_Col	flg22	2.891250523
Bac035	flat14	pot083	pipet172	_Col	flg22	2.150887834
Bac035	flat14	pot083	pipet172	_Col	flg22	3.804100348
Bac035	flat13	pot074	pipet173	dde2/ein2	_mock	6.891250523
Bac035	flat13	pot074	pipet173	dde2/ein2	_mock	7.192280519
Bac035	flat13	pot076	pipet173	dde2/ein2	_mock	6.849857838
Bac035	flat13	pot076	pipet173	dde2/ein2	_mock	6.891250523
Bac035	flat13	pot078	pipet173	dde2/ein2	_mock	5.462641695
Bac035	flat13	pot078	pipet173	dde2/ein2	_mock	6.105130343
Bac035	flat13	pot080	pipet174	dde2/ein2	_mock	6.804100348
Bac035	flat13	pot080	pipet174	dde2/ein2	_mock	6.694955878
Bac035	flat14	pot082	pipet174	dde2/ein2	_mock	6.628009089
Bac035	flat14	pot082	pipet174	dde2/ein2	_mock	6.355007816
Bac035	flat14	pot084	pipet174	dde2/ein2	_mock	6.493310515
Bac035	flat14	pot084	pipet174	dde2/ein2	_mock	6.548827842
Bac035	flat13	pot074	pipet175	dde2/ein2	flg22	5.849857838
Bac035	flat13	pot074	pipet175	dde2/ein2	flg22	5.849857838
Bac035	flat13	pot076	pipet175	dde2/ein2	flg22	5.264831186
Bac035	flat13	pot076	pipet175	dde2/ein2	flg22	5.281221602
Bac035	flat13	pot078	pipet175	dde2/ein2	flg22	4.418059562
Bac035	flat13	pot078	pipet175	dde2/ein2	flg22	5.381336755
Bac035	flat13	pot080	pipet176	dde2/ein2	flg22	4.08030676
Bac035	flat13	pot080	pipet176	dde2/ein2	flg22	3.211585674
Bac035	flat14	pot082	pipet176	dde2/ein2	flg22	4.752947825
Bac035	flat14	pot082	pipet176	dde2/ein2	flg22	3.192280519
Bac035	flat14	pot084	pipet176	dde2/ein2	flg22	3.694955878
Bac035	flat14	pot084	pipet176	dde2/ein2	flg22	2.451917829
Bac035	flat13	pot074	pipet177	dde2/ein2/pad4/sid2	_mock	7.381336755
Bac035	flat13	pot074	pipet177	dde2/ein2/pad4/sid2	_mock	7.557428014
Bac035	flat13	pot076	pipet177	dde2/ein2/pad4/sid2	_mock	7.105130343
Bac035	flat13	pot076	pipet177	dde2/ein2/pad4/sid2	_mock	7.582251598
Bac035	flat13	pot078	pipet177	dde2/ein2/pad4/sid2	_mock	7.326979093
Bac035	flat13	pot078	pipet177	dde2/ein2/pad4/sid2	_mock	7.483326294
Bac035	flat13	pot080	pipet178	dde2/ein2/pad4/sid2	_mock	7.724919102
Bac035	flat13	pot080	pipet178	dde2/ein2/pad4/sid2	_mock	7.804100348
Bac035	flat14	pot082	pipet178	dde2/ein2/pad4/sid2	_mock	7.247797847
Bac035	flat14	pot082	pipet178	dde2/ein2/pad4/sid2	_mock	7.341219532
Bac035	flat14	pot084	pipet178	dde2/ein2/pad4/sid2	_mock	7.406160339
Bac035	flat14	pot084	pipet178	dde2/ein2/pad4/sid2	_mock	7.297015869
Bac035	flat13	pot073	pipet179	dde2/ein2/pad4/sid2	flg22	6.822985692
Bac035	flat13	pot073	pipet179	dde2/ein2/pad4/sid2	flg22	6.932643208
Bac035	flat13	pot075	pipet179	dde2/ein2/pad4/sid2	flg22	7.023044107
Bac035	flat13	pot075	pipet179	dde2/ein2/pad4/sid2	flg22	6.832129071
Bac035	flat13	pot077	pipet179	dde2/ein2/pad4/sid2	flg22	6.804100348
Bac035	flat13	pot077	pipet179	dde2/ein2/pad4/sid2	flg22	6.418059562
Bac035	flat13	pot079	pipet180	dde2/ein2/pad4/sid2	flg22	6.80889923
Bac035	flat13	pot079	pipet180	dde2/ein2/pad4/sid2	flg22	6.649198388
Bac035	flat14	pot081	pipet180	dde2/ein2/pad4/sid2	flg22	6.789377091
Bac035	flat14	pot081	pipet180	dde2/ein2/pad4/sid2	flg22	6.628009089
Bac035	flat14	pot083	pipet180	dde2/ein2/pad4/sid2	flg22	6.675932641
Bac035	flat14	pot083	pipet180	dde2/ein2/pad4/sid2	flg22	6.521955696
Bac035	flat13	pot074	pipet181	dde2/pad4	_mock	7.540053918
Bac035	flat13	pot074	pipet181	dde2/pad4	_mock	7.326979093
Bac035	flat13	pot076	pipet181	dde2/pad4	_mock	7.264831186
Bac035	flat13	pot076	pipet181	dde2/pad4	_mock	7.688706929
Bac035	flat13	pot078	pipet181	dde2/pad4	_mock	7.211585674
Bac035	flat13	pot078	pipet181	dde2/pad4	_mock	6.995985874
Bac035	flat13	pot080	pipet182	dde2/pad4	_mock	7.473107129
Bac035	flat13	pot080	pipet182	dde2/pad4	_mock	6.849857838
Bac035	flat14	pot082	pipet182	dde2/pad4	_mock	7.483326294
Bac035	flat14	pot082	pipet182	dde2/pad4	_mock	7.025949097
Bac035	flat14	pot084	pipet182	dde2/pad4	_mock	7.281221602
Bac035	flat14	pot084	pipet182	dde2/pad4	_mock	7.381336755
Bac035	flat13	pot073	pipet183	dde2/pad4	flg22	5.150887834
